,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
0,FC Internazionale,44.0,25.6,27.0,7.89,346.95,2,38,27,76,2010
1,AC Milan,45.0,27.2,22.0,6.4,288.08,1,38,41,82,2010
2,Juventus FC,51.0,25.5,15.0,5.08,258.93,7,38,10,58,2010
3,ACF Fiorentina,42.0,24.4,22.0,4.18,175.48,9,38,5,51,2010
4,AS Roma,43.0,26.2,22.0,4.02,172.98,6,38,7,63,2010
5,SSC Napoli,31.0,27.8,10.0,5.5,170.43,3,38,20,70,2010
6,Genoa CFC,45.0,24.8,22.0,3.74,168.18,10,38,-2,51,2010
7,Udinese Calcio,40.0,24.1,23.0,3.43,137.05,4,38,22,66,2010
8,UC Sampdoria,46.0,24.0,14.0,2.72,125.05,18,38,-16,36,2010
9,US Palermo,45.0,23.7,16.0,2.73,123.03,8,38,-5,56,2010
10,SS Lazio,44.0,26.6,22.0,2.54,111.73,5,38,16,66,2010
11,Parma FC,43.0,25.2,14.0,2.0,86.05,12,38,-8,46,2010
12,Cagliari Calcio,37.0,27.2,6.0,2.3,85.03,14,38,-7,45,2010
13,AC Cesena,45.0,25.9,22.0,1.43,64.23,15,38,-12,43,2010
14,Bologna FC 1909,38.0,24.4,14.0,1.66,63.05,16,38,-17,42,2010
15,Calcio Catania,35.0,26.3,17.0,1.73,60.68,13,38,-12,46,2010
16,AS Bari,46.0,25.2,15.0,1.12,51.5,20,38,-29,24,2010
17,Chievo Verona,43.0,26.7,21.0,1.14,48.95,11,38,-2,46,2010
18,Brescia Calcio,43.0,25.6,19.0,0.885,38.05,19,38,-18,32,2010
19,US Lecce,37.0,25.1,15.0,0.884,32.7,17,38,-20,41,2010
